feature_name,percent_missing
Manual BPd R,98.99894625922023
Manual BPs L,99.26238145416228
Manual BPs R,98.7881981032666
Mean Airway Pressure,50.0
Medication Infusion Rate,99.63119072708113
Minute Volume,49.89462592202318
Mixed Venous O2% Sat,97.15489989462593
NBPd,12.539515279241307
NBPm,12.539515279241307
NBPs,12.38145416227608
Negative Insp. Force,99.84193888303477
O2 Flow,50.63224446786091
O2 Flow (additional cannula),94.0463645943098
P High (APRV),99.63119072708113
P Low (APRV),99.63119072708113
PA Line cm Mark,98.05057955742888
PAPd,97.10221285563752
PAPm,97.10221285563752
PAPs,97.10221285563752
PBP (Prefilter) Replacement Rate,99.57850368809272
PCA 1 hour limit,97.10221285563752
PCA attempt,96.9968387776607
PCA basal rate (mL/hour),98.2086406743941
PCA bolus,98.57744994731296
PCA dose,96.9968387776607
PCA inject,96.9968387776607
PCA lockout (min),97.04952581664911
PCA total dose,97.04952581664911
PCO2 (Arterial),53.79346680716544
PCO2 (Venous),93.15068493150685
PCV Level,99.78925184404636
PCWP,99.78925184404636
PEEP set,49.89462592202318
PH (Arterial),53.21390937829294
PH (Venous),91.04320337197049
PH (dipstick),80.18967334035827
PO2 (Arterial),53.79346680716544
PO2 (Mixed Venous),98.73551106427819
PO2 (Venous),93.15068493150685
PSV Level,64.9104320337197
PT,27.766069546891465
PTT,29.083245521601686
Paw High,49.94731296101159
PbtO2,99.68387776606954
PeCO2,99.89462592202318
Peak Insp. Pressure,50.21074815595364
Permanent Pacemaker Rate,99.3677555321391
Phenobarbital,99.73656480505795
Phenytoin (Dilantin),83.66701791359326
Phenytoin (Free),99.78925184404636
Phosphorous,4.1622760800842995
Pinsp (Draeger only),99.68387776606954
Pinsp (Hamilton),99.26238145416228
Plateau Pressure,64.06743940990516
Plateau Pressure (IABP),99.78925184404636
Platelet Count,2.3182297154899896
Pminimum,99.26238145416228
Post Filter Replacement Rate,99.57850368809272
Potassium (serum),1.5806111696522656
Potassium (whole blood),82.56059009483667
Pressure Ulcer #1-  Width,96.36459430979978
Pressure Ulcer #1- Depth,99.05163329820864
Pressure Ulcer #2-  Width,98.99894625922023
Pressure Ulcer #2- Depth,99.68387776606954
Pressure Ulcer #3-  Width,99.52581664910431
Pressure Ulcer #4-  Width,99.84193888303477
Pressure ulcer #1- Length,96.36459430979978
Pressure ulcer #2- Length,98.99894625922023
Pressure ulcer #3- Length,99.52581664910431
Pressure ulcer #4- Length,99.84193888303477
QTc,99.42044257112751
RCexp (Measured Time Constant),99.26238145416228
RR,0.4214963119072708
Recovery HR - Aerobic Activity Response,99.94731296101159
Recovery HR - Aerobic Capacity,99.89462592202318
Recovery O2 Sat - Aerobic Capacity,99.89462592202318
Recovery O2 sat - Aerobic Activity Response,99.94731296101159
Recovery RR - Aerobic Activity Response,99.89462592202318
Recovery RR - Aerobic Capacity,99.94731296101159
Recruitment Duration,99.57850368809272
Recruitment Press,99.68387776606954
Replacement Rate,99.4731296101159
Resistance Exp,99.26238145416228
Resistance Insp,99.26238145416228
Respiratory Rate (Set),59.79978925184405
Respiratory Rate (Total),52.21285563751317
Respiratory Rate (spontaneous),50.47418335089568
Rest HR -  Aerobic Activity Response,99.89462592202318
Rest HR - Aerobic Capacity,99.89462592202318
Rest O2 Sat - Aerobic Activity Response,99.89462592202318
Rest O2 Sat - Aerobic Capacity,99.89462592202318
Rest RR - Aerobic Activity Response,99.89462592202318
Rest RR - Aerobic Capacity,99.94731296101159
Return Pressure,99.4731296101159
SV (Arterial),99.42044257112751
SV Neb Dose #2,99.78925184404636
SVI (PiCCO),99.68387776606954
SVI Change,99.57850368809272
SVRI (PiCCO),99.78925184404636
SVV (Arterial),99.3677555321391
SVV (PiCCO),99.89462592202318
SYS - Assisted,99.42044257112751
SYS - Unassisted,99.42044257112751
SaO2,87.67123287671232
Sed Rate,99.84193888303477
Serum Osmolality,91.46469968387777
Site Depth #1,95.8377239199157
Site Depth #2,97.47102212855637
Site Depth #3,98.31401475237092
Site Depth #4,99.05163329820864
Site Depth #5,99.68387776606954
Site Depth #6,99.89462592202318
Site Depth #7,99.94731296101159
Site Depth #8,99.94731296101159
Site Length #1,85.14225500526871
Site Length #2,92.04425711275026
Site Length #3,94.94204425711276
Site Length #4,97.26027397260275
Site Length #5,98.63013698630137
Site Length #6,99.42044257112751
Site Length #7,99.84193888303477
Site Length #8,99.94731296101159
Site Length #9,99.94731296101159
Site Width #1,86.56480505795574
Site Width #2,93.04531085353003
Site Width #3,95.46891464699684
Site Width #4,97.47102212855637
Site Width #5,98.73551106427819
Site Width #6,99.42044257112751
Site Width #7,99.84193888303477
Site Width #8,99.94731296101159
Site Width #9,99.94731296101159
Skeletal Traction #1 - Pounds,99.26238145416228
Sodium (serum),1.5806111696522656
Sodium (whole blood),87.35511064278188
SpO2,0.26343519494204426
Specific Gravity (urine),80.927291886196
Spont RR,79.13593256059009
Spont Vt,79.13593256059009
Stroke Volume (SV NICOM),99.42044257112751
Stroke Volume Index (SVI NICOM),99.20969441517387
Stroke Volume Variation (SVI NICOM),99.42044257112751
SvO2,98.10326659641728
T High (APRV),99.63119072708113
T Low (APRV),99.63119072708113
TCO2 (calc) Arterial,53.74077976817703
TCO2 (calc) Venous,93.15068493150685
TFC (NICOM),99.94731296101159
TPR (NICOM),99.73656480505795
TPRI (NICOM),99.73656480505795
Temp AV interval,99.78925184404636
Temp Atrial Sens Setting mV,98.26132771338251
Temp Atrial Sens Threshold mV,98.41938883034773
Temp Atrial Stim Setting mA,98.26132771338251
Temp Atrial Stim Threshold mA,98.31401475237092
Temp Pacemaker Rate,96.62802950474183
Temp Pacemaker Wires Atrial,97.36564805057955
Temp Pacemaker Wires Ground,99.68387776606954
Temp Pacemaker Wires Venticular,97.04952581664911
Temp Venticular Sens Threshold mV,97.6290832455216
Temp Venticular Stim Threshold mA,97.73445732349842
Temp Ventricular Sens Setting mV,97.78714436248683
Temp Ventricular Stim Setting mA,97.6290832455216
Temperature C,95.7850368809273
Temperature F,3.3192834562697575
Thrombin,99.94731296101159
Tidal Volume (observed),50.31612223393045
Tidal Volume (set),59.852476290832456
Tidal Volume (spontaneous),64.38356164383562
Time spent,99.89462592202318
Timespent,99.94731296101159
Tobramycin (Random),99.73656480505795
Total Bilirubin,73.28767123287672
Total Granulocyte Count (TGC),99.89462592202318
Total PEEP Level,70.07376185458378
Total Protein,99.26238145416228
Transpulmonary Press (Exp. Hold),99.78925184404636
Transpulmonary Press (Insp. Hold),99.78925184404636
Triglyceride,97.31296101159114
Troponin-T,78.5563751317176
Ultrafiltrate Output,99.20969441517387
Uric Acid,99.52581664910431
VEN  Lumen Volume,99.57850368809272
Vancomycin (Random),96.4172813487882
Vancomycin (Trough),97.41833508956796
Ventilator Tank #1,57.165437302423605
Ventilator Tank #2,57.218124341412015
Volume In (PD),99.73656480505795
Volume Out (PD),99.68387776606954
Vti High,50.15806111696523
WBC,2.3182297154899896
